Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
20/05/2020 12:37:47,UFPR,CT - Ciências da Terra,Mestrado Acadêmico,Ciências Exatas,2018,UFES,"Iniciação científica, Monitoria",,,,0,Não,1,0,Sim,Excel,Não sei ainda,7,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,90,06/05/1991,desemprego,Com os pais,0,Outro Estado,A e B (moto e carro),Transporte público,45,10,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
20/05/2020 12:40:06,UFPR,SD - Saúde,Doutorado,Ciências Humanas,2004,UFPR,Iniciação científica,2004,2006,UFPR,4,Não,1,21,Sim,Excel,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,159,63,19/09/1981,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,B (carro),Carro/moto próprio,30,0,"Cachorro, Gato, Coelho",Não toco nenhum instrumento,Outras,63,A se chama Bouba e B se chama Kiki.
20/05/2020 12:41:01,UNILA,,Mestrado Acadêmico,Ciências Exatas,2019,unila,"Iniciação científica, Monitoria",,,,0,Não,1,0,Não,,Certamente sim,10,Conseguir um emprego.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,180,70,12/07/1993,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,3,Outro País,Não,Bicicleta,15,1,Cachorro,"Violão, Guitarra, Contrabaixo, Bateria","Facebook, Instagram, Linkedin",45,B se chama Bouba e A se chama Kiki.
20/05/2020 12:49:11,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,1992,UFPR,Projeto de extensão,2015,2017,UFPR,11,Não,1,2,Sim,"Statistica, SPSS, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,158,57,09/04/1968,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,6,Curitiba,B (carro),Táxi/Aplicativo,5,20,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",47,A se chama Bouba e B se chama Kiki.
20/05/2020 12:52:12,UEPG,,Mestrado Acadêmico,Ciências Humanas,2016,UEPG,,,,,0,Não,0,0,Não,,Não sei ainda,5,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,165,60,26/05/1993,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,0,Interior do Paraná,B (carro),Carro/moto próprio,20,0,Gato,"Teclado, Piano","Facebook, Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
20/05/2020 12:58:41,UEPG,,Doutorado,Ciências Biológicas,2017,UEPG,"Iniciação científica, PET, Monitoria, Projeto de extensão",2018,2020,UEPG,2,CAPES,1,2,Sim,"SPSS, Excel, BioEstat",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Programa de Pós-Graduação,Sim,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,162,60,02/03/1994,Bolsista em tempo integral,Com os pais,2,Região metropolitana,Não,Carona com amigos,60,2,Cachorro,Teclado,"Facebook, Google+, Instagram",50,B se chama Bouba e A se chama Kiki.
20/05/2020 13:03:09,UFPR,BL - Ciências Biológiccas,Mestrado Acadêmico,Ciências Biológicas,2017,UFPR,"Iniciação científica, Monitoria",,2021,,0,Não,1,3,Sim,R,Certamente sim,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,175,77,24/01/1991,Trabalho ocasional,Com os pais,0,Curitiba,A e B (moto e carro),Carro/moto próprio,30,1,Coelho,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",46,B se chama Bouba e A se chama Kiki.
20/05/2020 13:04:04,UNILA,,Mestrado Acadêmico,Ciências Exatas,2017,UDC,"Iniciação científica, Monitoria",,,,0,Não,2,4,Sim,"Excel, Matlab",Não sei ainda,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Ofertada pela programa da unila,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,180,90,06/07/1985,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,20,0,Cachorro,Não toco nenhum instrumento,"Facebook, Linkedin",50,B se chama Bouba e A se chama Kiki.
20/05/2020 13:06:50,UFPR,ET - Exatas,Doutorado,Ciências Exatas,2011,FATECPB,Projeto de extensão,2015,2017,UFPB,2,Não,1,7,Sim,Matlab,Não sei ainda,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,176,89,14/03/1987,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,0,Outro Estado,A e B (moto e carro),Carro/moto próprio,120,0,Não possuo,Bateria,"Instagram, Linkedin",60,A se chama Bouba e B se chama Kiki.
20/05/2020 13:09:29,UFPR,SL - Litoral,Mestrado Acadêmico,Ciências Exatas,2018,UNINTER,Projeto de extensão,,,,0,Não,1,0,Sim,"R, SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,180,76,21/02/1983,Servidor Público,Sozinho,1,Curitiba,A e B (moto e carro),Bicicleta,30,0,Gato,"Violão, Outro","Facebook, Instagram, Linkedin",50,A se chama Bouba e B se chama Kiki.
