Carimbo de data/hora,Qual sua atividade atual na UFPR (relacionada à presença nesta disciplina)?,Qual o Setor de atuação/estudo na UFPR?  ,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação?,De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas diferentes de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) estatístico(s) você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,Qual das seguintes categorias descreve melhor sua situação de emprego?,Sexo,Quantos irmãos você tem?,Qual a sua origem?,Você mora,Qual seu meio de transporte predominante para ir para Universidade?,Possui habilitação para dirigir? Qual categoria?,"Em média, quanto tempo você demora para chegar a Universidade?",Qual a sua altura?,Qual o seu peso?,Possui animal de estimação?,Toca algum instrumento musical?,Qual a data do seu nascimento?,De quais redes sociais você participa?,"Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Você é o provedor da conta de NETFLIX da sua família/amigos?,O arroz do Natal tem que ser,Quantos anos você acha que a pessoa da foto abaixo tem?,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu algum vídeo da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,"Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina (Paulo Afonso, Walmes, Fernando Mayer, Cesar)?"
08/03/2019 17:52:24,Mestrado Acadêmico,SD - Saúde,2014,UNAERP,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",,,,1,Não,0,0,Sim,Excel,Certamente sim,8,Trabalho com carteira assinada/Vínculo Formal,Feminino,2,Outro Estado,Sozinho,A pé,B (carro),5,156,58,chinchila,guitarra,28/09/1990,"Facebook, Instagram",0,Sim,com uvas passas,62,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 17:55:09,Mestrado Acadêmico,CH - Humanas,2018,Uninter,Grupo de Pesquisa,,2020,,0,CAPES,1,0,Sim,"SPSS, Excel",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com amigos,Transporte público,Não,40,170,58,Não,Não,09/12/1997,"Facebook, Google+, Instagram, Linkedin",1,Sim,sem uvas passas,68,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não
08/03/2019 17:56:24,Mestrado Acadêmico,CH - Humanas,2018,Uninter,Grupo de Pesquisa,,2020,,0,CAPES,1,0,Sim,"SPSS, Excel",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com amigos,Transporte público,Não,40,170,58,Não,Não,09/12/1997,"Facebook, Google+, Instagram, Linkedin",1,Sim,sem uvas passas,68,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não
08/03/2019 18:03:54,Doutorado,AG - Agrárias,1999,Universidade de Brasília - UNB,Empresa Júnior,2014,2016,UFPR,0,Não,0,3,Não,Excel,Não sei ainda,10,Aposentado do Serviço Público Federal,Masculino,6,Outro Estado,Com outros familiares,Transporte público,Superior à B,60,172,115,Cachorro,Violão,08/01/1962,"Facebook, Google+, Instagram, Linkedin, Outras",0,Sim,tanto faz.,50,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 18:05:54,Mestrado Acadêmico,SD - Saúde,2013,Universidade Federal de Alfenas,"Iniciação científica, PET, Monitoria, Bolsista de (algum outro) projeto",,,,0,Não,1,0,Não,Excel,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,0,Outro Estado,Sozinho,Transporte público,B (carro),20,167,65,Não,Não,21/06/1991,"Facebook, Instagram",15,Sim,com uvas passas,39,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR,Não,Não,Não
08/03/2019 18:10:48,Mestrado Acadêmico,TC - Tecnologia,2018,UFPR,"Iniciação científica, Bolsista de (algum outro) projeto",,2019,UFPR,2,Fundação Araucária,1,0,Sim,Excel,Certamente sim,8,Bolsista em tempo integral,Masculino,2,Interior do Paraná,Com os pais,Transporte público,B (carro),60,182,106,Não,Não,28/07/1976,"Facebook, Instagram, Linkedin",0,Sim,tanto faz.,45,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Sim,Sim,Não
08/03/2019 19:21:53,Professor,CH - Humanas,1994,Univali,,2000,2001,Universidade de Strathclyde,17,Não,1,2,Sim,Excel,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Masculino,0,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),30,175,100,cachorro,Piano; violão,17/10/1970,"Facebook, Linkedin",3,Sim,tanto faz.,45,,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 19:23:03,Mestrado Acadêmico,SD - Saúde,2012,Unig campus V ,,,,,3,Não,0,0,Não,Não ,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,2,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,A pé,Não,15,164,79,Não,Teclado,28/12/2019,"Facebook, Instagram, Outras",10,Sim,tanto faz.,55,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 19:34:22,Mestrado Acadêmico,SD - Saúde,2010,Universidade Estadual do Oeste do Paraná,"Iniciação científica, Bolsista de (algum outro) projeto",,,,0,Não,1,7,Sim,Excel,Não sei ainda,10,Trabalho com concurso público federal,Feminino,2,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,165,65,Cachorro,Não,01/03/1988,"Facebook, Instagram",0,Não,com uvas passas,55,Aumento salarial e oportunidades mais promissoras.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
08/03/2019 20:03:20,Doutorado,AG - Agrárias,2016,Universidade Federal de Pelotas,"Iniciação científica, Bolsista de (algum outro) projeto",2016,2018,Universidade Federal de Pelotas,7,CAPES,2,1,Sim,"SAS, Excel",Certamente sim,9,Bolsista em tempo integral,Masculino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,185,95,Não,Não,15/06/1991,"Facebook, Instagram, Linkedin",2,Não tenho conta no NETFLIX,sem uvas passas,55,"Continuar trabalhando com pesquisa, independente do local e ambição salarial.",Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 20:59:42,Residência Multiprofissional,SD - Saúde,2017,UFPR,"Iniciação científica, PET, Monitoria",,,,2,MEC,1,0,Sim,"SPSS, Excel, Graphpad Prism",Certamente sim,9,Bolsista em tempo integral,Masculino,0,Curitiba ou região metropolitana,Com os pais,Carro/moto próprio,B (carro),30,171,76,Não,Teclado,05/09/1993,"Facebook, Twitter, Instagram, Linkedin",10,Sim,tanto faz.,49,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Não,Não
